title,title_raw,company,location,date_posted,category,skills,job_url,search_keyword,scraped_at,source
Data Architect,DATA ARCHITECT - H/F,,71 - Chalon-sur-Sane,2026-03-06,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/9991263,Data Architect,2026-03-24T22:37:10.246637,france_travail
Senior Data / Architecte Data H/F - Lyon (H/F),SENIOR DATA / ARCHITECTE DATA H/F - LYON (H/F),NEXT DECISION,69 - Lyon 1er Arrondissement,2026-03-12,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/205HPVV,Data Architect,2026-03-24T22:37:10.246611,france_travail
Architecte Si / Data Architect Confirm (H/F),Architecte SI / Data Architect confirm (H/F),,59 - Lille,2026-03-16,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/0322650,Data Architect,2026-03-24T22:37:10.246600,france_travail
Deep -  Solution Architect - Cybersecurity (H/F),DEEP -  Solution Architect - Cybersecurity (H/F),,Luxembourg,2026-03-19,Cybersecurity,,https://candidat.francetravail.fr/offres/recherche/detail/0479971,Data Architect,2026-03-24T22:37:10.246595,france_travail
Solution Architect - Wholesale (H/F),Solution Architect - Wholesale (H/F),,Luxembourg,2026-03-19,Other,,https://candidat.francetravail.fr/offres/recherche/detail/0479977,Data Architect,2026-03-24T22:37:10.246591,france_travail
Senior System Architect Pega (Ssa) H/F,Senior System Architect PEGA (SSA) H/F,,92 - Puteaux,2026-03-21,IT & Systems,,https://candidat.francetravail.fr/offres/recherche/detail/0599935,Data Architect,2026-03-24T22:37:10.246586,france_travail
Solution Architect Aveva F/H H/F,Solution Architect AVEVA F/H h/f,,75 - Paris,2026-03-24,Other,,https://candidat.francetravail.fr/offres/recherche/detail/0651329,Data Architect,2026-03-24T22:37:10.246581,france_travail
Technical Senior Architect (H/F),Technical Senior Architect (H/F),,31 - Colomiers,2026-03-24,Other,,https://candidat.francetravail.fr/offres/recherche/detail/0667625,Data Architect,2026-03-24T22:37:10.246577,france_travail
Senior Software Architect (H/F),Senior Software Architect (H/F),,31 - Colomiers,2026-03-24,Software Dev,,https://candidat.francetravail.fr/offres/recherche/detail/0669131,Data Architect,2026-03-24T22:37:10.246572,france_travail
Software Architect - Colomiers (H/F),Software Architect - Colomiers (H/F),,31 - Colomiers,2026-03-24,Software Dev,,https://candidat.francetravail.fr/offres/recherche/detail/0672704,Data Architect,2026-03-24T22:37:10.246568,france_travail
Sap Technical Architect (F/H) (H/F),SAP Technical Architect (F/H) (H/F),,92 - Puteaux,2026-03-24,Other,,https://candidat.francetravail.fr/offres/recherche/detail/0678704,Data Architect,2026-03-24T22:37:10.246562,france_travail
Data Architect,Data Architect Aronautique et Dfense - F/H - F/H h/f,,31 - Blagnac,2026-03-24,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/0651232,Data Architect,2026-03-24T22:37:10.246556,france_travail
Data Architect,Data Architect Manager - Databricks F/H h/f,,75 - Paris,2026-03-24,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/0651374,Data Architect,2026-03-24T22:37:10.246549,france_travail
